column_name,column_type,description,possible_values
CHKHEMO3,DOUBLE,"About how many times in the past 12 months has a doctor, nurse, or other","{'1': '-', '88': 'None', '98': 'Never heard of “A', '77': 'Don’t know/Not', '99': 'Refused'}"
FEETCHK,DOUBLE,About how many times in the past 12 months has a health professional checked your feet,"{'1': '-', '88': 'None', '77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Not asked or'}"
EYEEXAM1,DOUBLE,"When was the last time you had an eye exam in which the pupils were dilated, making you temporarily sensitive","{'1': 'Within the past', '2': 'Within the past', '3': 'Within the past', '4': '2 or more years', '7': 'Don’t know/Not', '8': 'Never', '9': 'Refused', 'BLANK': 'Not asked or'}"
DIABEYE,DOUBLE,Has a doctor ever told you that diabetes has affected your eyes or that you had,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
DIABEDU,DOUBLE,Have you ever taken a course or class in how to manage your diabetes yourself?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
TOLDCFS,VARCHAR,Have you ever been told by a doctor or other health professional that you had Chronic Fatigue Syndrome (CFS),{'BLANK': 'Not asked or'}
HAVECFS,VARCHAR,Do you still have Chronic Fatigue Syndrome (CFS) or (Myalgic Encephalomyelitis) ME?,{'BLANK': 'Not asked or'}
WORKCFS,VARCHAR,"Thinking about your CFS or ME, during the past 6 months, how many hours a week on average have you been",{'BLANK': 'Not asked or'}
TOLDHEPC,VARCHAR,Have you ever been told by a doctor or other health professional that you had Hepatitis C?,{'BLANK': 'Not asked or'}
PRIRHEPC,VARCHAR,Were you treated for Hepatitis C prior to 2015?,{'BLANK': 'Not asked or'}
HAVEHEPC,VARCHAR,Do you still have Hepatitis C?,{'BLANK': 'Not asked or'}
HAVEHEPB,VARCHAR,"Has a doctor, nurse, or other health professional ever told you that you had hepatitis B?",{'BLANK': 'Not asked or'}
MEDSHEPB,VARCHAR,Are you currently taking medicine to treat hepatitis B?,{'BLANK': 'Not asked or'}
HPVADVC3,VARCHAR,Have you ever had the Human Papilloma virus vaccination or HPV vaccination?,{'BLANK': 'Not asked or'}
HPVADSHT,VARCHAR,How many HPV shots did you receive?,{'BLANK': 'Not asked or'}
IMFVPLA1,VARCHAR,At what kind of place did you get your last flu shot or vaccine?,{'BLANK': 'Not asked or'}
SHINGLE2,VARCHAR,Have you ever had the shingles or zoster vaccine?,{'BLANK': 'Not asked or'}
LCSFIRST,VARCHAR,How old were you when you first started to smoke cigarettes regularly,{'BLANK': 'Not asked or'}
LCSLAST,VARCHAR,How old were you when you last smoked cigarettes regularly?,{'BLANK': 'Not asked or'}
LCSNUMCG,VARCHAR,"On average, when you smoke/smoked regularly, about how many cigarettes do/did you usually smoke each day?",{'BLANK': 'Not asked or'}
LCSCTSCN,VARCHAR,"In the last 12 months, did you have a CT or CAT scan?",{'BLANK': 'Not asked or'}
HADMAM,DOUBLE,Have you ever had a mammogram?,"{'1': 'Yes', '2': 'No—Go to Module', '7': 'Don’t know/Not', '9': 'Refused—Go to', 'BLANK': 'Not asked or'}"
HOWLONG,DOUBLE,How long has it been since you had your last mammogram?,"{'1': 'Within the past', '2': 'Within the past', '3': 'Within the past', '4': 'Within the past', '5': '5 or more years', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
HADPAP2,DOUBLE,Have you ever had a Pap test?,"{'1': 'Yes', '2': 'No—Go to Module', '7': 'Don’t know/Not', '9': 'Refused—Go to', 'BLANK': 'Not asked or'}"
LASTPAP2,DOUBLE,How long has it been since you had your last Pap test?,"{'1': 'Within the past', '2': 'Within the past', '3': 'Within the past', '4': 'Within the past', '5': '5 or more years', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
HPVTEST,DOUBLE,An H.P.V. test is sometimes given with the Pap test for cervical cancer screening. Have you ever had an H.P.V. test?,"{'1': 'Yes', '2': 'No—Go to Module', '7': 'Don’t know/Not', '9': 'Refused—Go to', 'BLANK': 'Not asked or'}"
HPLSTTST,DOUBLE,How long has it been since you had your last H.P.V. test?,"{'1': 'Within the past', '2': 'Within the past', '3': 'Within the past', '4': 'Within the past', '5': '5 or more years', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
HADHYST2,DOUBLE,Have you had a hysterectomy?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
PCPSAAD3,VARCHAR,"Has a doctor, nurse, or other health professional ever talked with you about the advantages of the Prostate-",{'BLANK': 'Not asked or'}
PCPSADI1,VARCHAR,"Has a doctor, nurse, or other health professional ever talked with you about the disadvantages of the PSA test?",{'BLANK': 'Not asked or'}
PCPSARE1,VARCHAR,"Has a doctor, nurse, or other health professional ever recommended that you have a P.S.A. test?",{'BLANK': 'Not asked or'}
PSATEST1,VARCHAR,Have you ever had a P.S.A. test?,{'BLANK': 'Not asked or'}
PSATIME,VARCHAR,How long has it been since you had your last P.S.A. test?,{'BLANK': 'Not asked or'}
PCPSARS1,VARCHAR,What was the MAIN reason you had this P.S.A. test – was it …?,{'BLANK': 'Not asked or'}
PCPSADE1,VARCHAR,Which of the following best describes the decision to have the P.S.A. test done?,{'BLANK': 'Not asked or'}
PCDMDEC1,VARCHAR,Who made the decision with you?,{'BLANK': 'Not asked or'}
BLDSTOOL,DOUBLE,A blood stool test is a test that may use a special kit at home to determine whether the,"{'1': 'Yes', '2': 'No—Go to Module', '7': 'Don’t know/Not', '9': 'Refused—Go to', 'BLANK': 'Not asked or'}"
LSTBLDS3,DOUBLE,How long has it been since you had your last blood stool test using a home kit?,"{'1': 'Within the past', '2': 'Within the past', '3': 'Within the past', '4': 'Within the past', '5': '5 or more years', '7': 'Don’t know/Not', 'BLANK': 'Not asked or'}"
HADSIGM3,DOUBLE,Sigmoidoscopy and colonoscopy are exams in which a tube is inserted in the rectum to,"{'1': 'Yes', '2': 'No—Go to Next', '7': 'Don’t know/Not', '9': 'Refused—Go to Next', 'BLANK': 'Not asked or'}"
HADSGCO1,DOUBLE,"For a SIGMOIDOSCOPY, a flexible tube is inserted into the rectum to look for problems.","{'1': 'Sigmoidoscopy', '2': 'Colonoscopy', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
LASTSIG3,DOUBLE,How long has it been since you had your last sigmoidoscopy or colonoscopy?,"{'1': 'Within the past', '2': 'Within the past', '3': 'Within the past', '4': 'Within the past', '5': 'Within the past', '6': '10 or more years', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
CNCRDIFF,VARCHAR,How many different types of cancer have you had?,{'BLANK': 'Not asked or'}
CNCRAGE,VARCHAR,"At what age were you told that you had cancer? (If Response = 2 (Two) or 3 (Three or more), ask: “At what age",{'BLANK': 'Missing'}
CNCRTYP1,VARCHAR,"What type of cancer was it? (If Response = 2 (Two) or 3 (Three or more), ask: “With your most recent diagnoses",{'BLANK': 'Missing'}
CSRVTRT3,VARCHAR,Are you currently receiving treatment for cancer?,{'BLANK': 'Not asked or'}
CSRVDOC1,VARCHAR,What type of doctor provides the majority of your health care?,{'BLANK': 'Not asked or'}
CSRVSUM,VARCHAR,"Did any doctor, nurse, or other health professional ever give you a written summary of all the cancer treatments",{'BLANK': 'Not asked or'}
CSRVRTRN,VARCHAR,"Have you ever received instructions from a doctor, nurse, or other health professional about where you should",{'BLANK': 'Not asked or'}
CSRVINST,VARCHAR,Were these instructions written down or printed on paper for you?,{'BLANK': 'Not asked or'}
CSRVINSR,VARCHAR,"With your most recent diagnosis of cancer, did you have health insurance that paid for all or part of your cancer",{'BLANK': 'Not asked or'}
CSRVDEIN,VARCHAR,Were you ever denied health insurance or life insurance coverage because of your cancer?,{'BLANK': 'Not asked or'}
CSRVCLIN,VARCHAR,Did you participate in a clinical trial as part of your cancer treatment?,{'BLANK': 'Not asked or'}
CSRVPAIN,VARCHAR,Do you currently have physical pain caused by your cancer or cancer treatment?,{'BLANK': 'Not asked or'}
CSRVCTL2,VARCHAR,Would you say your pain is currently under control…?,{'BLANK': 'Not asked or'}
HLTHCVR1,DOUBLE,What is the primary source of your health care coverage? Is it…,"{'1': 'A plan purchased', '2': 'A plan that you or', '3': 'Medicare', '4': 'Medicaid or other', '5': 'TRICARE (formerly', '6': 'Alaska Native,', '7': 'Some other source', '8': 'None (no coverage)', '77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Not asked or'}"
ASPIRIN,VARCHAR,"How often do you take an aspirin to prevent or control heart disease, heart attacks or stroke? Would you say….",{'BLANK': 'Not asked or'}
HOMBPCHK,DOUBLE,Has your doctor nurse or other health professional recommended you check your blood pressure outside of the,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused'}"
HOMRGCHK,DOUBLE,Do you regularly check your blood pressure outside of your healthcare professional’s office or at home?,"{'1': 'Yes', '2': 'No—Go to Next', '7': 'Don’t know/Not', '9': 'Refused—Go to Next', 'BLANK': 'Not asked or'}"
WHEREBP,DOUBLE,"Do you take it mostly at home or on a machine at a pharmacy, grocery or similar location?","{'1': 'At home', '2': 'On a machine at a', '3': 'Do not check it', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
SHAREBP,DOUBLE,How do you share your blood pressure numbers that you collected with your health professional? Is it mostly by,"{'1': 'Telephone', '2': 'Other methods such', '3': 'In person', '4': 'Do not share', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
WTCHSALT,VARCHAR,Are you currently watching or reducing your sodium or salt intake?,{'BLANK': 'Not asked or'}
DRADVISE,VARCHAR,Has a doctor or other health professional ever advised you to reduce sodium or salt intake?,{'BLANK': 'Not asked or'}
INDORTAN,VARCHAR,"Not including spray-on tans, during the past 12 months, how many times have you used an indoor tanning",{'BLANK': 'Not asked or'}
NUMBURN3,VARCHAR,"During the past 12 months, how many times have you had a sunburn?",{'BLANK': 'Not asked or'}
SUNPRTCT,VARCHAR,"When you go outside on a warm sunny day for more than one hour, how often do you protect yourself from the",{'BLANK': 'Not asked or'}
WKDAYOUT,VARCHAR,"On weekdays, in the summer, how long are you outside per day between 10am and 4pm?",{'BLANK': 'Not asked or'}
WKENDOUT,VARCHAR,"On weekends in the summer, how long are you outside each day between 10am and 4pm?",{'BLANK': 'Not asked or'}
CIMEMLOS,DOUBLE,"During the past 12 months, have you experienced confusion or memory loss that is","{'1': 'Yes', '2': 'No—Go to next', '7': 'Don’t know/Not', '9': 'Refused—Go to next', 'BLANK': 'Not asked or'}"
CDHOUSE,DOUBLE,"During the past 12 months, as a result of confusion or memory loss, how often have you","{'1': 'Always', '2': 'or', '3': 'Sometimes', '4': 'Rarely', '5': 'Never', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
CDASSIST,DOUBLE,"As a result of confusion or memory loss, how often do you need assistance with these","{'1': 'Always', '2': 'or', '3': 'Sometimes', '4': 'Rarely—Go to', '5': 'Never—Go to Module', '7': 'Don’t know/Not', '9': 'Refused—Go to', 'BLANK': 'Not asked or'}"
CDHELP,DOUBLE,"When you need help with these day-to-day activities, how often are you able to get the","{'1': 'Always', '2': 'or', '3': 'Sometimes', '4': 'Rarely', '5': 'Never', '7': 'Don’t know/Not', 'BLANK': 'Not asked or'}"
CDSOCIAL,DOUBLE,"During the past 12 months, how often has confusion or memory loss interfered with your","{'1': 'Always', '2': 'or', '3': 'Sometimes', '4': 'Rarely', '5': 'Never', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
CDDISCUS,DOUBLE,Have you or anyone else discussed your confusion or memory loss with a health care,"{'1': 'Yes', '2': 'or', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
CAREGIV1,DOUBLE,"During the past 30 days, did you provide regular care or assistance to a friend or family member who has a","{'1': 'Yes', '2': 'No—Go to Module', '7': 'Don’t know/Not', '8': 'Caregiving', '9': 'Refused—Go to', 'BLANK': 'Not asked or'}"
CRGVREL3,DOUBLE,What is his/her relationship to you?,"{'1': 'Mother', '2': 'Father', '3': 'Mother-in-law', '4': 'Father-in-law', '5': 'Child', '6': 'Husband', '7': 'Wife', '8': 'Live-in partner', '9': 'Brother or', '10': 'Sister or sister-', '11': 'Grandmother', '12': 'Grandfather', '13': 'Grandchild', '14': 'Other relative', '15': 'Non-relative/', '77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Not asked or'}"
CRGVLNG1,DOUBLE,For how long have you provided care for that person?,"{'1': 'Less than', '2': '1 month to less', '3': '6 months to less', '4': '2 years to less', '5': '5 or more years', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
CRGVHRS1,DOUBLE,"In an average week, how many hours do you provide care or assistance?","{'1': 'Up to', '2': '9 to', '3': '20 to', '4': '40 hours or more', '7': 'Don’t know/Not', 'BLANK': 'Not asked or'}"
CRGVPRB3,DOUBLE,"What is the main health problem, long-term illness, or disability that the person you care for has?","{'1': 'Arthritis/', '2': 'Asthma', '3': 'Cancer', '4': 'Chronic', '5': 'Alzheimer´s', '6': 'Developmental', '7': 'Diabetes', '8': 'Heart disease,', '9': 'Human', '10': 'Mental illnesses,', '11': 'Other organ', '12': 'Substance abuse or', '13': 'Injuries,', '14': 'Old age/', '15': 'Other', '77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Not asked or'}"
CRGVALZD,DOUBLE,"Does the person you care for also have Alzheimer´s disease, dementia or other cognitive impairment disorder?","{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
CRGVPER1,DOUBLE,"In the past 30 days, did you provide care for this person by managing personal care such as giving medications,","{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
CRGVHOU1,DOUBLE,"In the past 30 days, did you provide care for this person by managing household tasks such as cleaning,","{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
CRGVEXPT,DOUBLE,"In the next 2 years, do you expect to provide care or assistance to a friend or family member who has a health","{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
ACEDEPRS,DOUBLE,"Did you live with anyone who was depressed, mentally ill, or suicidal?","{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
ACEDRINK,DOUBLE,Did you live with anyone who was a problem drinker or alcoholic?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
ACEDRUGS,DOUBLE,Did you live with anyone who used illegal street drugs or who abused prescription medications?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
ACEPRISN,DOUBLE,"Did you live with anyone who served time or was sentenced to serve time in a prison, jail, or other correctional facility?","{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
ACEDIVRC,DOUBLE,Were your parents separated or divorced?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '8': 'Parents not', '9': 'Refused', 'BLANK': 'Not asked or'}"
ACEPUNCH,DOUBLE,"How often did your parents or adults in your home ever slap, hit, kick, punch or beat each other up?","{'1': 'Never', '2': 'Once', '3': 'More than once', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
ACEHURT1,DOUBLE,"Not including spanking, (before age 18), how often did a parent or adult in your home ever hit, beat, kick, or","{'1': 'Never', '2': 'Once', '3': 'More than once', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
ACESWEAR,DOUBLE,"How often did a parent or adult in your home ever swear at you, insult you, or put you down?","{'1': 'Never', '2': 'Once', '3': 'More than once', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
ACETOUCH,DOUBLE,"How often did anyone at least 5 years older than you or an adult, ever touch you sexually?","{'1': 'Never', '2': 'Once', '3': 'More than once', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
ACETTHEM,DOUBLE,"How often did anyone at least 5 years older than you or an adult, try to make you touch them sexually?","{'1': 'Never', '2': 'Once', '3': 'More than once', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
ACEHVSEX,DOUBLE,"How often did anyone at least 5 years older than you or an adult, force you to have sex?","{'1': 'Never', '2': 'Once', '3': 'More than once', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
PFPPRVN3,DOUBLE,"The last time you had sex with a man, did you or your partner do anything to keep you from getting pregnant?","{'1': 'Yes', '2': 'No—Go to Module', '3': 'No partner/not', '4': 'Same sex partner—', '7': 'Don’t know / Not', '9': 'Refused—Go to next', 'BLANK': 'Not asked or'}"
TYPCNTR8,DOUBLE,"The last time you had sex with a man, what did you or your partner do to keep you from getting pregnant?","{'1': 'Female', '2': 'Male sterilization', '3': 'Contraceptive', '4': 'IUD,', '5': 'IUD, Copper-', '6': 'IUD, type unknown—', '7': 'Shots (ex. Depo-', '8': 'Birth control', '9': 'Contraceptive', '10': 'Contraceptive ring', '11': 'Male condoms—Go to', '12': 'Diaphragm,', '13': 'Female condoms—Go', '14': 'Not having sex at', '15': 'Withdrawal (or', '16': 'Foam, jelly, film,', '18': 'Other method—Go to', '77': 'Don’t know/Not', '99': 'Refused—Go to next', 'BLANK': 'Not asked or'}"
NOBCUSE7,DOUBLE,What was your main reason for not using a method to prevent pregnancy the last time you had sex with a man?,"{'1': 'You didn´t think', '2': 'You just didn´t', '3': 'Don´t care if you', '4': 'You want a', '5': 'You or your', '6': 'You or your', '7': 'You couldn´t pay', '8': 'You had a problem', '9': 'Religious reasons', '11': 'Don´t think you or', '12': 'You had tubes tied', '13': 'You had a', '14': 'Your partner had a', '15': 'You are currently', '16': 'You just had a', '17': 'You are pregnant', '18': 'Same sex partner', '19': 'Other reasons', '77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Not asked or'}"
ASBIALCH,VARCHAR,You told me earlier that your last routine checkup was [within the past year/within the past 2 years]. At that,{'BLANK': 'Not asked or'}
ASBIDRNK,VARCHAR,Did the health care provider ask you in person or on a form how much you drink?,{'BLANK': 'Not asked or'}
ASBIBING,VARCHAR,Did the healthcare provider specifically ask whether you drank [5 FOR MEN /4 FOR WOMEN] or more alcoholic,{'BLANK': 'Not asked or'}
ASBIADVC,VARCHAR,Were you offered advice about what level of drinking is harmful or risky for your health?,{'BLANK': 'Not asked or'}
ASBIRDUC,VARCHAR,"At your last routine checkup, were you advised to reduce or quit your drinking?",{'BLANK': 'Not asked or'}
MARIJAN1,VARCHAR,"During the past 30 days, on how many days did you use marijuana or cannabis?",{'BLANK': 'Not asked or'}
USEMRJN2,VARCHAR,"During the past 30 days, which one of the following ways did you use marijuana the most often? Did you",{'BLANK': 'Not asked or'}
RSNMRJN1,VARCHAR,"When you used marijuana or cannabis during the past 30 days, was it usually:",{'BLANK': 'Not asked or'}
TYPEWORK,VARCHAR,"What kind of work do you do? [(for example, registered nurse, janitor, cashier, auto mechanic)]",{'BLANK': 'Not asked or'}
TYPEINDS,VARCHAR,"What kind of business or industry do you work in? [(for example, hospital, elementary school, clothing",{'BLANK': 'Not asked or'}
FOODSTMP,VARCHAR,"In the past 12 months, have you received food stamps, also called SNAP, the Supplemental Nutrition Assistance",{'BLANK': 'Not asked or'}
BIRTHSEX,VARCHAR,What was your sex at birth? Was it male or female?,{'BLANK': 'Not asked or'}
SOMALE,DOUBLE,Which of the following best represents how you think of yourself?,"{'1': 'Gay', '2': 'Straight, that is,', '3': 'Bisexual', '4': 'Something else', '7': 'I don´t know the', '9': 'Refused', 'BLANK': 'Not asked or'}"
SOFEMALE,DOUBLE,Which of the following best represents how you think of yourself?,"{'1': 'Lesbian or Gay', '2': 'Straight, that is,', '3': 'Bisexual', '4': 'Something else', '7': 'I don´t know the', '9': 'Refused', 'BLANK': 'Not asked or'}"
TRNSGNDR,DOUBLE,"Do you consider yourself to be transgender? (If yes, ask “Do you consider yourself to be male-to-female, female-to-","{'1': 'Yes, Transgender,', '2': 'Yes, Transgender,', '3': 'Yes, Transgender,', '4': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
RCSBIRTH,VARCHAR,What is the birth month and year of the “Xth” child?,"{'777777': 'Don’t know/Not', '999999': 'Refused', 'BLANK': 'Not asked or', 'HIDDEN': 'Data not displayed'}"
RCSGENDR,DOUBLE,Is the child a boy or a girl?,"{'1': 'Boy', '2': 'Girl', '9': 'Refused', 'BLANK': 'Not asked or'}"
RCHISLA1,BIGINT,"Is the child Hispanic, Latino/a, or Spanish origin?","{'7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or', 'HIDDEN': 'Data not displayed'}"
RCSRACE1,BIGINT,Which one or more of the following would you say is the race of the child? (If 40 (Asian) or 50 (Pacific Islander) is,"{'77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Not asked or', 'HIDDEN': 'Data Not Displayed'}"
RCSBRAC2,DOUBLE,Which one of these groups would you say best represents the child´s race? (If 40 (Asian) or 50 (Pacific Islander),"{'10': 'White', '20': 'Black or African', '30': 'American Indian or', '47': 'Other Asian', '54': 'Other Pacific', '60': 'Other', '77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Not asked or'}"
RCSRLTN2,DOUBLE,How are you related to the child? Are you a…,"{'1': 'Parent (include', '2': 'Grandparent', '3': 'Foster parent or', '4': 'Sibling (include', '5': 'Other relative', '6': 'Not related in any', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
CASTHDX2,DOUBLE,"Has a doctor, nurse or other health professional EVER said that the child has asthma?","{'1': 'Yes', '2': 'No—Go to next', '7': 'Don’t know/Not', '9': 'Refused—Go to next', 'BLANK': 'Not asked or'}"
CASTHNO2,DOUBLE,Does the child still have asthma?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', 'BLANK': 'Not asked or'}"
CALLBACK,DOUBLE,"[INTERVIEWER, SAY IF NECESSARY: I understand your time is valuable and you may",{'BLANK': 'Not asked or'}
ADLTCHLD,DOUBLE,Which person in the household was selected as the focus of the asthma call-back?,"{'0': 'No selection', '3': '2', 'BLANK': 'Not asked or'}"
ADHISPA,DOUBLE,Adult Hispanic response,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', 'BLANK': 'Missing'}"
CHHISPA,DOUBLE,Child Hispanic response,"{'1': 'Yes', 'BLANK': 'Missing'}"
QSTVER,DOUBLE,Questionnaire Version Identifier,"{'11': 'Landline multiple', '12': 'Landline multiple', '20': 'Cell Phone single', '21': 'Cell Phone', '22': 'Cell Phone'}"
QSTLANG,DOUBLE,Language identifier,"{'1': 'English', '2': 'Spanish'}"
CPCOUNTY,VARCHAR,Cell Phone County Name,"{'BLANK': '13,142', 'HIDDEN': 'Data not displayed'}"
OH1_1,DOUBLE,"In the past year, did you use any pain medications that were prescribed to you by a","{'1': 'Yes', '2': 'No', '7': 'Don’t know / Not sure', '9': 'Refused'}"
OH1_2,DOUBLE,"The last time you filled a prescription for pain medication, did you use any of the pain","{'1': 'Yes', '2': 'No', '3': 'Never filled a prescription for pain medication [GO TO OH1_5]', '7': 'Don’t Know / Not sure', '9': 'Refused'}"
OH1_3,DOUBLE,"The last time you filled a prescription for pain medication, was there any medication","{'1': 'Yes', '2': 'No [GO TO OH1_5]', '7': 'Don’t know / Not sure [GO TO OH1_5]', '9': 'Refused [GO TO OH1_5]'}"
OH1_4,DOUBLE,What did you do with the leftover prescription pain medication?,"{'1': 'Kept it', '2': 'Disposed of it', '3': 'Gave it to someone else', '4': 'Sold it', '5': 'Other (SPECIFY)', '7': 'Don’t know / Not sure', '9': 'Refused'}"
OH1_5,DOUBLE,"In the past year, did you use prescription pain medication that was NOT prescribed to","{'1': 'Yes', '2': 'No [GO TO OH1_7]', '7': 'Don’t know / Not sure [GO TO OH1_7]', '9': 'Refused [GO TO OH1_7]'}"
OH1_6,DOUBLE,"The last time you used prescription pain medication not prescribed to you, how did you","{'1': 'Given to me for free from a friend or relative', '2': 'Taken from someone without his or her knowledge', '3': 'Purchased from friend or relative', '4': 'Purchased from street dealer', '5': 'Purchased online', '6': 'Other (SPECIFY)', '7': 'Don’t know / Not sure', '9': 'Refused'}"
OH1_7,DOUBLE,Have you ever heard of this medication?,"{'1': 'Yes', '2': 'No [GO TO NEXT MODULE]', '7': 'Don’t know / Not sure [GO TO NEXT MODULE]', '9': 'Refused [GO TO NEXT MODULE]'}"
OH1_8,DOUBLE,"Are you aware that in Ohio, anyone can legally obtain, carry, and administer Naloxone","{'1': 'Yes', '2': 'No', '7': 'Don’t know / Not sure', '9': 'Refused'}"
OH1_9,DOUBLE,Have you ever obtained Naloxone (nal-ox-one) to use if someone overdoses on,"{'1': 'Yes', '2': 'No', '7': 'Don’t know / Not sure', '9': 'Refused'}"
OH2_1,DOUBLE,Do you think sudden confusion or trouble speaking are symptoms of a stroke?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not sure', '9': 'Refused'}"
OH2_2,DOUBLE,"(Do you think) sudden numbness or weakness of face, arm, or leg, especially on one","{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not sure', '9': 'Refused'}"
OH2_3,DOUBLE,(Do you think) sudden trouble seeing in one or both eyes (is a symptom of a stroke?),"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not sure', '9': 'Refused'}"
OH2_4,DOUBLE,(Do you think) sudden chest pain or discomfort (are symptoms of a stroke?),"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not sure', '9': 'Refused'}"
OH2_5,DOUBLE,"(Do you think) sudden trouble walking, dizziness, or loss of balance (are symptoms of a","{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not sure', '9': 'Refused'}"
OH2_6,DOUBLE,(Do you think) severe headache with no known cause (is a symptom of a stroke?),"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not sure', '9': 'Refused'}"
OH2_7,DOUBLE,"If you thought someone was having a heart attack or a stroke, what is the first thing you","{'1': 'Take them to the hospital', '2': 'Tell them to call their doctor', '3': 'Call 911', '4': 'Call their spouse or a family member, or', '5': 'Do something else', '7': '(VOL) Don’t know / Not sure', '9': '(VOL) Refused'}"
OH3_1,DOUBLE,"During the past 30 days, how often did you drink regular soda or pop that contains","{'8': '8 8 None', '7': '7 7 Don’t Know', '9': '9 9 Refused', '1': 'Yes [Go to next question]', '2': 'No [Go to OH3_1]'}"
OH3_2,DOUBLE,"During the past 30 days, how often did you drink sugar-sweetened fruit drinks, such as","{'8': '8 8 None', '7': '7 7 Don’t Know', '9': '9 9 Refused', '1': 'Yes [Go to next module]', '2': 'No [Go to OH3_2]'}"
OH4_1,DOUBLE,"In the past 12 months, how many times have you fallen?","{'8': '8 None [Go to next module]', '7': '7 Don’t know / Not sure [Go to next module]', '9': '9 Refused [Go to next module]'}"
OH4_2,DOUBLE,[Fill in “Did this fall (from OH4_1) cause an injury?”]. If only one fall from OH4_1,"{'8': '8 None', '7': '7 Don’t know / Not sure', '9': '9 Refused', '1': 'Correct number of falls GO TO OH4_1 (and then re-ask OH4_1)', '2': 'Correct number of falls causing injury GO TO OH4_2'}"
OH5_1,DOUBLE,"In your lifetime, have you ever been hospitalized or treated in an emergency room","{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not sure', '9': 'Refused'}"
